iter	Passed	Remaining
400	21146	42135
401	21192	42068
402	21229	41985
403	21275	41919
404	21339	41889
405	21396	41845
406	21454	41801
407	21498	41733
408	21551	41680
409	21607	41634
410	21660	41582
411	21706	41516
412	21755	41456
413	21810	41408
414	21862	41354
415	21908	41288
416	21955	41226
417	22012	41181
418	22062	41124
419	22115	41072
420	22157	40998
421	22205	40937
422	22266	40900
423	22315	40841
424	22360	40775
425	22405	40708
426	22470	40677
427	22533	40644
428	22591	40602
429	22649	40558
430	22699	40501
431	22746	40438
432	22794	40377
433	22851	40332
434	22894	40263
435	22935	40190
436	22988	40137
437	23036	40077
438	23092	40031
439	23136	39963
440	23181	39897
441	23236	39849
442	23305	39824
443	23366	39786
444	23415	39727
445	23468	39675
446	23522	39625
447	23574	39571
448	23620	39508
449	23668	39447
450	23742	39430
451	23798	39384
452	23840	39313
453	23894	39262
454	23948	39212
455	24006	39168
456	24054	39108
457	24106	39054
458	24162	39007
459	24215	38955
460	24266	38900
461	24337	38877
462	24400	38840
463	24467	38810
464	24521	38760
465	24590	38732
466	24638	38672
467	24700	38634
468	24760	38592
469	24816	38544
470	24878	38505
471	24933	38456
472	24979	38392
473	25023	38326
474	25084	38286
475	25132	38227
476	25202	38199
477	25247	38135
478	25305	38090
479	25363	38045
480	25420	37998
481	25470	37942
482	25525	37891
483	25567	37822
484	25618	37766
485	25670	37713
486	25726	37664
487	25775	37606
488	25829	37555
489	25870	37486
490	25925	37436
491	25975	37379
492	26025	37323
493	26076	37267
494	26134	37221
495	26186	37167
496	26234	37108
497	26276	37040
498	26314	36966
499	26363	36908
500	26413	36852
501	26452	36781
502	26504	36727
503	26548	36661
504	26606	36617
505	26651	36553
506	26694	36487
507	26736	36420
508	26785	36362
509	26831	36301
510	26882	36246
511	26926	36182
512	26969	36116
513	27021	36063
514	27066	36000
515	27123	35954
516	27161	35883
517	27211	35827
518	27260	35769
519	27318	35724
520	27364	35663
521	27421	35616
522	27468	35556
523	27514	35495
524	27566	35442
525	27607	35375
526	27666	35331
527	27708	35265
528	27753	35203
529	27803	35147
530	27841	35077
531	27896	35027
532	27937	34960
533	27994	34913
534	28047	34862
535	28104	34815
536	28163	34771
537	28234	34741
538	28281	34683
539	28335	34632
540	28379	34570
541	28432	34517
542	28485	34466
543	28555	34434
544	28613	34388
545	28669	34339
546	28720	34285
547	28770	34230
548	28825	34180
549	28869	34117
550	28937	34083
551	28990	34032
552	29043	33980
553	29093	33924
554	29151	33878
555	29196	33817
556	29248	33764
557	29298	33709
558	29350	33656
559	29409	33610
560	29456	33552
561	29505	33495
562	29553	33437
563	29591	33369
564	29646	33319
565	29695	33263
566	29741	33203
567	29796	33154
568	29857	33110
569	29905	33052
570	29950	32992
571	30003	32940
572	30052	32885
573	30108	32836
574	30149	32771
575	30201	32718
576	30238	32649
577	30283	32588
578	30328	32528
579	30379	32474
580	30440	32431
581	30476	32361
582	30534	32314
583	30578	32254
584	30632	32203
585	30675	32141
586	30731	32092
587	30792	32049
588	30840	31992
589	30898	31946
590	30942	31885
591	30999	31837
592	31062	31796
593	31108	31736
594	31164	31688
595	31214	31633
596	31268	31582
597	31312	31521
598	31364	31469
599	31408	31408
600	31452	31347
601	31492	31283
602	31548	31234
603	31592	31173
604	31643	31120
605	31702	31074
606	31747	31015
607	31797	30960
608	31864	30922
609	31913	30867
610	31967	30816
611	32040	30783
612	32093	30732
613	32150	30684
614	32198	30627
615	32249	30574
616	32311	30531
617	32368	30483
618	32411	30421
619	32455	30361
620	32496	30298
621	32553	30250
622	32599	30192
623	32646	30135
624	32682	30067
625	32736	30017
626	32783	29959
627	32840	29912
628	32890	29857
629	32937	29800
630	32993	29751
631	33050	29703
632	33099	29648
633	33144	29589
634	33192	29533
635	33242	29478
636	33303	29434
637	33354	29381
638	33402	29325
639	33448	29267
640	33484	29200
641	33527	29140
642	33585	29093
643	33627	29032
644	33686	28985
645	33735	28931
646	33783	28875
647	33826	28815
648	33871	28756
649	33909	28692
650	33952	28632
651	33998	28575
652	34053	28525
653	34115	28481
654	34157	28421
655	34243	28396
656	34304	28352
657	34356	28299
658	34399	28239
659	34446	28183
660	34488	28123
661	34539	28069
662	34596	28021
663	34648	27969
664	34699	27915
665	34759	27870
666	34822	27826
667	34866	27768
668	34909	27708
669	34996	27684
670	35049	27632
671	35107	27584
672	35154	27527
673	35211	27479
674	35262	27426
675	35310	27371
676	35382	27333
677	35434	27281
678	35481	27224
679	35526	27166
680	35580	27116
681	35631	27063
682	35704	27026
683	35754	26972
684	35801	26916
685	35852	26863
686	35897	26805
687	35942	26748
688	36001	26700
689	36055	26649
690	36091	26585
691	36138	26529
692	36187	26475
693	36241	26424
694	36295	26372
695	36381	26345
696	36455	26308
697	36519	26265
698	36572	26212
699	36628	26162
700	36688	26116
701	36745	26067
702	36798	26015
703	36863	25972
704	36925	25926
705	36969	25868
706	37027	25819
707	37082	25768
708	37141	25721
709	37195	25670
710	37263	25628
711	37321	25580
712	37364	25521
713	37421	25471
714	37501	25438
715	37564	25393
716	37621	25343
717	37690	25301
718	37755	25257
719	37800	25200
720	37873	25161
721	37950	25125
722	38001	25071
723	38049	25015
724	38113	24970
725	38178	24926
726	38224	24869
727	38276	24816
728	38375	24794
729	38473	24770
730	38557	24738
731	38649	24710
732	38712	24663
733	38775	24617
734	38834	24568
735	38883	24513
736	38929	24456
737	38966	24393
738	39015	24338
739	39062	24282
740	39111	24226
741	39148	24164
742	39203	24112
743	39256	24060
744	39302	24003
745	39353	23949
746	39406	23897
747	39453	23840
748	39501	23785
749	39549	23729
750	39604	23678
751	39666	23631
752	39724	23581
753	39784	23532
754	39830	23476
755	39880	23421
756	39945	23376
757	39997	23323
758	40043	23266
759	40089	23209
760	40145	23158
761	40195	23104
762	40246	23051
763	40295	22995
764	40341	22939
765	40385	22881
766	40455	22838
767	40502	22782
768	40557	22730
769	40614	22681
770	40659	22623
771	40703	22565
772	40753	22511
773	40808	22460
774	40860	22407
775	40913	22354
776	40965	22301
777	41023	22251
778	41074	22197
779	41127	22145
780	41173	22089
781	41248	22048
782	41297	21993
783	41340	21935
784	41385	21878
785	41426	21820
786	41490	21773
787	41547	21723
788	41601	21670
789	41652	21617
790	41707	21565
791	41745	21505
792	41808	21457
793	41867	21408
794	41923	21357
795	41966	21299
796	42022	21248
797	42068	21192
798	42121	21140
799	42172	21086
800	42218	21030
801	42266	20975
802	42321	20923
803	42361	20864
804	42410	20810
805	42454	20753
806	42500	20697
807	42545	20640
808	42597	20587
809	42648	20534
810	42703	20483
811	42740	20422
812	42784	20366
813	42835	20312
814	42895	20263
815	42947	20210
816	43009	20162
817	43062	20109
818	43101	20050
819	43158	20000
820	43212	19948
821	43273	19899
822	43318	19843
823	43359	19785
824	43404	19729
825	43447	19672
826	43492	19616
827	43535	19559
828	43586	19506
829	43631	19450
830	43679	19395
831	43734	19343
832	43789	19292
833	43831	19235
834	43872	19177
835	43917	19121
836	43963	19066
837	44020	19015
838	44058	18957
839	44096	18898
840	44137	18841
841	44182	18785
842	44224	18728
843	44263	18670
844	44308	18614
845	44363	18563
846	44419	18512
847	44472	18460
848	44520	18405
849	44561	18349
850	44608	18294
851	44659	18241
852	44712	18188
853	44767	18137
854	44809	18081
855	44864	18029
856	44901	17971
857	44952	17918
858	45004	17865
859	45048	17809
860	45099	17756
861	45153	17705
862	45213	17655
863	45266	17603
864	45306	17546
865	45355	17492
866	45406	17439
867	45462	17388
868	45524	17340
869	45575	17287
870	45619	17231
871	45670	17178
872	45708	17121
873	45762	17069
874	45808	17014
875	45861	16962
876	45913	16909
877	45956	16854
878	46015	16804
879	46069	16752
880	46117	16698
881	46172	16647
882	46220	16593
883	46272	16540
884	46319	16486
885	46371	16434
886	46414	16378
887	46470	16327
888	46513	16271
889	46557	16216
890	46611	16165
891	46655	16109
892	46715	16060
893	46767	16007
894	46818	15954
895	46870	15902
896	46916	15848
897	46961	15793
898	47002	15737
899	47036	15678
900	47102	15630
901	47134	15572
902	47179	15517
903	47240	15468
904	47305	15420
905	47381	15375
906	47438	15324
907	47481	15269
908	47524	15214
909	47583	15163
910	47644	15114
911	47686	15058
912	47740	15007
913	47792	14954
914	47846	14903
915	47884	14846
916	47932	14792
917	47981	14739
918	48021	14683
919	48060	14627
920	48107	14573
921	48163	14522
922	48212	14469
923	48267	14417
924	48318	14364
925	48366	14311
926	48449	14268
927	48502	14216
928	48550	14162
929	48593	14107
930	48636	14052
931	48687	14000
932	48731	13945
933	48784	13893
934	48839	13842
935	48887	13788
936	48931	13734
937	48966	13677
938	49019	13625
939	49064	13570
940	49116	13518
941	49157	13463
942	49208	13411
943	49244	13354
944	49293	13301
945	49336	13246
946	49385	13193
947	49434	13140
948	49490	13089
949	49549	13039
950	49606	12988
951	49643	12932
952	49678	12875
953	49722	12821
954	49758	12765
955	49813	12714
956	49857	12659
957	49905	12606
958	49952	12553
959	50018	12504
960	50066	12451
961	50116	12398
962	50175	12348
963	50223	12295
964	50270	12242
965	50327	12191
966	50367	12136
967	50412	12082
968	50462	12029
969	50507	11976
970	50562	11924
971	50615	11872
972	50659	11818
973	50708	11765
974	50753	11712
975	50804	11660
976	50842	11604
977	50888	11551
978	50928	11496
979	50981	11444
980	51037	11393
981	51091	11342
982	51147	11290
983	51198	11238
984	51261	11189
985	51305	11135
986	51349	11081
987	51403	11029
988	51450	10976
989	51501	10924
990	51549	10871
991	51605	10820
992	51656	10768
993	51703	10715
994	51754	10662
995	51799	10609
996	51859	10559
